"fixed.acidity";"volatile.acidity";"citric.acidity";"residual.sugar";"chlorides";"free.sulfur.dioxide";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"paises"
7,8;0,5;0,12;1,8;0,178;6;21;0,996;3,28;0,87;9,8;6;"France"
6,2;0,23;0,36;17,2;0,039;37;130;0,99946;3,23;0,43;8,8;6;"Argentina"
12,4;0,49;0,58;3;0,103;28;99;1,0008;3,16;1;11,5;6;"France"
8,1;0,87;0;2,2;0,084;10;31;0,99656;3,25;0,5;9,8;5;"Chile"
10,2;0,645;0,36;1,8;0,053;5;14;0,9982;3,17;0,42;10;6;"Spain"
7,4;0,74;0,07;1,7;0,086;15;48;0,99502;3,12;0,48;10;5;"Spain"
6,4;0,12;0,3;1,1;0,031;37;94;0,98986;3,01;0,56;11,7;6;"Argentina"
5,8;0,17;0,36;1,3;0,036;11;70;0,99202;3,43;0,68;10,4;7;"Argentina"
8,1;0,73;0;2,5;0,081;12;24;0,99798;3,38;0,46;9,6;4;"France"
7,3;0,24;0,34;15,4;0,05;38;174;0,9983;3,03;0,42;9;6;"Argentina"
9,4;0,4;0,31;2,2;0,09;13;62;0,9966;3,07;0,63;10,5;6;"Spain"
6,6;0,23;0,37;8,5;0,036;46;153;0,99576;3,2;0,48;9,4;6;"Argentina"
6,5;0,41;0,24;14;0,048;24;113;0,9982;3,44;0,53;9,8;6;"Argentina"
10,4;0,24;0,46;1,8;0,075;6;21;0,9976;3,25;1,02;10,8;7;"Spain"
6,8;0,91;0,06;2;0,06;4;11;0,99592;3,53;0,64;10,9;4;"Chile"
9,4;0,24;0,33;2,3;0,061;52;73;0,99786;3,47;0,9;10,2;6;"France"
6,7;1,04;0,08;2,3;0,067;19;32;0,99648;3,52;0,57;11;4;"Chile"
10;0,43;0,33;2,7;0,095;28;89;0,9984;3,22;0,68;10;5;"France"
6,6;0,28;0,3;7,8;0,049;57;202;0,9958;3,24;0,39;9,5;5;"Argentina"
6;0,51;0;2,1;0,064;40;54;0,995;3,54;0,93;10,7;6;"France"
7,6;0,31;0,27;5,8;0,036;23;109;0,99399;3,34;0,54;11;6;"Argentina"
7,5;0,61;0,2;1,7;0,076;36;60;0,99494;3,1;0,4;9,3;5;"Spain"
7,4;0,64;0,07;1,8;0,1;8;23;0,9961;3,3;0,58;9,6;5;"Chile"
6,7;0,75;0,01;2,4;0,078;17;32;0,9955;3,55;0,61;12,8;6;"Chile"
10;0,58;0,22;1,9;0,08;9;32;0,9974;3,13;0,55;9,5;5;"Chile"
7,1;0,69;0,08;2,1;0,063;42;52;0,99608;3,42;0,6;10,2;6;"Spain"
7,3;0,32;0,35;1,4;0,05;8;163;0,99244;3,24;0,42;10,7;5;"Argentina"
11,4;0,6;0,49;2,7;0,085;10;41;0,9994;3,15;0,63;10,5;6;"Spain"
7,1;0,2;0,41;2,1;0,054;24;166;0,9948;3,48;0,62;10,5;6;"Argentina"
8;0,59;0,05;2;0,089;12;32;0,99735;3,36;0,61;10;5;"France"
6,2;0,63;0,31;1,7;0,088;15;64;0,9969;3,46;0,79;9,3;5;"Chile"
8;0,33;0,35;10;0,035;22;108;0,99457;3,12;0,36;11,6;6;"Argentina"
7,8;0,52;0,25;1,9;0,081;14;38;0,9984;3,43;0,65;9;6;"Spain"
7,9;0,34;0,42;2;0,086;8;19;0,99546;3,35;0,6;11,4;6;"Chile"
6;0,42;0,19;2;0,075;22;47;0,99522;3,39;0,78;10;6;"Spain"
7,4;0,635;0,1;2,4;0,08;16;33;0,99736;3,58;0,69;10,8;7;"Spain"
7,3;0,735;0;2,2;0,08;18;28;0,99765;3,41;0,6;9,4;5;"Spain"
7;0,4;0,32;3,6;0,061;9;29;0,99416;3,28;0,49;11,3;7;"France"
11,1;0,18;0,48;1,5;0,068;7;15;0,9973;3,22;0,64;10,1;6;"Chile"
8,6;0,45;0,31;2,6;0,086;21;50;0,9982;3,37;0,91;9,9;6;"Spain"
7,3;0,55;0,03;1,6;0,072;17;42;0,9956;3,37;0,48;9;4;"Chile"
7,3;0,66;0;2;0,084;6;23;0,9983;3,61;0,96;9,9;6;"France"
6,6;0,61;0,01;1,9;0,08;8;25;0,99746;3,69;0,73;10,5;5;"Spain"
8;0,62;0,33;2,7;0,088;16;37;0,9972;3,31;0,58;10,7;6;"Chile"
7,8;0,76;0,04;2,3;0,092;15;54;0,997;3,26;0,65;9,8;5;"Chile"
7,3;0,67;0,02;2,2;0,072;31;92;0,99566;3,32;0,68;11,1;6;"Chile"
6,2;0,65;0,06;1,6;0,05;6;18;0,99348;3,57;0,54;11,95;5;"Chile"
6,9;0,22;0,43;6,4;0,042;34;115;0,99293;3,05;0,51;10,8;6;"Argentina"
8,7;0,46;0,31;2,5;0,126;24;64;0,99746;3,1;0,74;9,6;5;"France"
6,5;0,26;0,31;3,6;0,03;36;92;0,99026;3,22;0,62;12,6;8;"Argentina"
6,6;0,36;0,24;0,9;0,038;15;72;0,99066;3,23;0,39;11;5;"Argentina"
6,9;0,63;0,01;2,4;0,076;14;39;0,99522;3,34;0,53;10,8;6;"Spain"
7,5;0,38;0,48;2,6;0,073;22;84;0,9972;3,32;0,7;9,6;4;"Chile"
7;0,55;0,13;2,2;0,075;15;35;0,9959;3,36;0,59;9,7;6;"Chile"
10,9;0,53;0,49;4,6;0,118;10;17;1,0002;3,07;0,56;11,7;6;"Chile"
15;0,21;0,44;2,2;0,075;10;24;1,00005;3,07;0,84;9,2;7;"Spain"
6,6;0,815;0,02;2,7;0,072;17;34;0,9955;3,58;0,89;12,3;7;"France"
10,4;0,24;0,49;1,8;0,075;6;20;0,9977;3,18;1,06;11;6;"France"
8,4;0,635;0,36;2;0,089;15;55;0,99745;3,31;0,57;10,4;4;"Spain"
6,3;0,47;0;1,4;0,055;27;33;0,9922;3,45;0,48;12,3;6;"France"
7,5;0,27;0,36;7;0,036;45;164;0,9939;3,03;0,33;11;5;"Argentina"
8,3;0,26;0,37;1,4;0,076;8;23;0,9974;3,26;0,7;9,6;6;"France"
12,5;0,28;0,54;2,3;0,082;12;29;0,9997;3,11;1,36;9,8;7;"France"
7,8;0,56;0,19;2,1;0,081;15;105;0,9962;3,33;0,54;9,5;5;"France"
10,2;0,54;0,37;15,4;0,214;55;95;1,00369;3,18;0,77;9;6;"Chile"
9,8;0,66;0,39;3,2;0,083;21;59;0,9989;3,37;0,71;11,5;7;"France"
7,6;0,665;0,1;1,5;0,066;27;55;0,99655;3,39;0,51;9,3;5;"France"
7,9;0,29;0,31;7,35;0,034;37;154;0,9938;3,06;0,31;10,8;5;"Argentina"
7;0,29;0,35;1,4;0,036;42;109;0,99119;3,31;0,62;11,6;6;"Argentina"
6,8;0,24;0,37;7,45;0,043;59;188;0,99579;3,2;0,5;9,4;6;"Argentina"
8,6;0,635;0,68;1,8;0,403;19;56;0,99632;3,02;1,15;9,3;5;"Chile"
8,8;0,37;0,48;2,1;0,097;39;145;0,9975;3,04;1,03;9,3;5;"Spain"
8,3;0,31;0,39;2,4;0,078;17;43;0,99444;3,31;0,77;12,5;7;"Spain"
10,8;0,26;0,45;3,3;0,06;20;49;0,9972;3,13;0,54;9,6;5;"Spain"
6,3;0,2;0,4;1,5;0,037;35;107;0,9917;3,46;0,5;11,4;6;"Argentina"
7,2;0,56;0,26;2;0,083;13;100;0,99586;3,26;0,52;9,9;5;"Spain"
6,6;0,57;0,02;2,1;0,115;6;16;0,99654;3,38;0,69;9,5;5;"France"
7,3;0,32;0,25;7,2;0,056;47;180;0,9961;3,08;0,47;8,8;5;"Argentina"
6,9;0,34;0,3;4,7;0,029;34;148;0,99165;3,36;0,49;12,3;7;"Argentina"
6,8;0,67;0,02;1,8;0,05;5;11;0,9962;3,48;0,52;9,5;5;"Spain"
7,2;0,47;0,16;5,9;0,048;14;125;0,99428;3,09;0,49;9,8;5;"Argentina"
5,3;0,57;0,01;1,7;0,054;5;27;0,9934;3,57;0,84;12,5;7;"Chile"
6,7;0,13;0,32;3,7;0,017;32;99;0,99348;3,12;0,44;10;6;"Argentina"
6,6;0,39;0,28;9,2;0,036;10;92;0,99206;3,07;0,35;12,1;6;"Argentina"
5,7;0,24;0,47;6,3;0,069;35;182;0,99391;3,11;0,46;9,73333333333333;5;"Argentina"
8,1;0,825;0,24;2,1;0,084;5;13;0,9972;3,37;0,77;10,7;6;"Chile"
8,5;0,19;0,49;3,5;0,044;29;117;0,9938;3,14;0,51;10,1;6;"Argentina"
6,5;0,67;0;4,3;0,057;11;20;0,99488;3,45;0,56;11,8;4;"Chile"
8,2;0,26;0,34;2,5;0,073;16;47;0,99594;3,4;0,78;11,3;7;"France"
6,6;0,24;0,3;13;0,052;18;143;0,99825;3,37;0,49;9,4;6;"Argentina"
7,1;0,31;0,3;2,2;0,053;36;127;0,9965;2,94;1,62;9,5;5;"Spain"
13,5;0,53;0,79;4,8;0,12;23;77;1,0018;3,18;0,77;13;5;"Chile"
6,8;0,815;0;1,2;0,267;16;29;0,99471;3,32;0,51;9,8;3;"France"
8,3;0,65;0,1;2,9;0,089;17;40;0,99803;3,29;0,55;9,5;5;"France"
7,1;0,48;0,28;2,8;0,068;6;16;0,99682;3,24;0,53;10,3;5;"Spain"
7;0,45;0,34;19,8;0,04;12;67;0,9976;3,07;0,38;11;6;"Argentina"
7,8;0,735;0,08;2,4;0,092;10;41;0,9974;3,24;0,71;9,8;6;"Chile"
7,4;0,62;0,05;1,9;0,068;24;42;0,9961;3,42;0,57;11,5;6;"Chile"
10,3;0,43;0,44;2,4;0,214;5;12;0,9994;3,19;0,63;9,5;6;"Chile"
10,6;0,36;0,57;2,3;0,087;6;20;0,99676;3,14;0,72;11,1;7;"France"
8,5;0,47;0,27;1,9;0,058;18;38;0,99518;3,16;0,85;11,1;6;"France"
8,6;0,22;0,36;1,9;0,064;53;77;0,99604;3,47;0,87;11;7;"France"
7,6;0,3;0,27;10,6;0,039;31;119;0,99815;3,27;0,3;9,3;6;"Argentina"
6,6;0,38;0,29;2,9;0,035;15;101;0,98916;3,04;0,37;12,5;6;"Argentina"
8,7;0,7;0,24;2,5;0,226;5;15;0,9991;3,32;0,6;9;6;"Chile"
7,3;0,39;0,31;2,4;0,074;9;46;0,9962;3,41;0,54;9,4;6;"Chile"
6,9;0,41;0,31;2;0,079;21;51;0,99668;3,47;0,55;9,5;6;"Spain"
10,4;0,28;0,54;2,7;0,105;5;19;0,9988;3,25;0,63;9,5;5;"France"
6,6;0,24;0,35;7,7;0,031;36;135;0,9938;3,19;0,37;10,5;5;"Argentina"
7,2;0,57;0,05;2,3;0,081;16;36;0,99564;3,38;0,6;10,3;6;"Spain"
6,7;0,48;0,02;2,2;0,08;36;111;0,99524;3,1;0,53;9,7;5;"Spain"
8,9;0,62;0,18;3,8;0,176;52;145;0,9986;3,16;0,88;9,2;5;"France"
7,4;0,63;0,07;2,4;0,09;11;37;0,9979;3,43;0,76;9,7;6;"Chile"
7,2;0,62;0,06;2,7;0,077;15;85;0,99746;3,51;0,54;9,5;5;"France"
8,3;0,21;0,58;17,1;0,049;62;213;1,0006;3,01;0,51;9,3;6;"Argentina"
6,9;0,45;0,11;2,4;0,043;6;12;0,99354;3,3;0,65;11,4;6;"Spain"
6,9;0,63;0,02;1,9;0,078;18;30;0,99712;3,4;0,75;9,8;5;"Chile"
11,4;0,46;0,5;2,7;0,122;4;17;1,0006;3,13;0,7;10,2;5;"Spain"
7,4;0,7;0;1,9;0,076;11;34;0,9978;3,51;0,56;9,4;5;"Chile"
8,3;0,845;0,01;2,2;0,07;5;14;0,9967;3,32;0,58;11;4;"France"
7,5;0,59;0,22;1,8;0,082;43;60;0,99499;3,1;0,42;9,2;5;"Spain"
5,8;0,22;0,29;0,9;0,034;34;89;0,98936;3,14;0,36;11,1;7;"Argentina"
7,3;0,2;0,37;1,2;0,037;48;119;0,992;3,32;0,49;10,9;6;"Argentina"
6,3;0,25;0,27;6,6;0,054;40;158;0,99378;3,2;0,48;10,3;5;"Argentina"
9;0,82;0,05;2,4;0,081;26;96;0,99814;3,36;0,53;10;5;"Spain"
6,4;0,31;0,28;2,5;0,039;34;137;0,98946;3,22;0,38;12,7;6;"Argentina"
8,2;0,74;0,09;2;0,067;5;10;0,99418;3,28;0,57;11,8;6;"Chile"
6,1;0,4;0,16;1,8;0,069;11;25;0,9955;3,42;0,74;10,1;7;"Spain"
8,2;0,24;0,34;5,1;0,062;8;22;0,9974;3,22;0,94;10,9;6;"Spain"
9;0,54;0,49;2,9;0,094;41;110;0,9982;3,08;0,61;9,2;5;"Spain"
8,8;0,24;0,54;2,5;0,083;25;57;0,9983;3,39;0,54;9,2;5;"Spain"
7,7;0,54;0,26;1,9;0,089;23;147;0,99636;3,26;0,59;9,7;5;"Spain"
9,1;0,29;0,33;2,05;0,063;13;27;0,99516;3,26;0,84;11,7;7;"France"
6,8;0,36;0,32;1,8;0,067;4;8;0,9928;3,36;0,55;12,8;7;"Chile"
6,6;0,44;0,15;2,1;0,076;22;53;0,9957;3,32;0,62;9,3;5;"Spain"
6,6;0,66;0;3;0,115;21;31;0,99629;3,45;0,63;10,3;5;"Chile"
7,8;0,57;0,09;2,3;0,065;34;45;0,99417;3,46;0,74;12,7;8;"Spain"
6,7;0,675;0,07;2,4;0,089;17;82;0,9958;3,35;0,54;10,1;5;"Spain"
6,6;0,25;0,31;12,4;0,059;52;181;0,9984;3,51;0,47;9,8;6;"Argentina"
5,3;0,47;0,11;2,2;0,048;16;89;0,99182;3,54;0,88;13,5666666666667;7;"France"
10,1;0,27;0,54;2,3;0,065;7;26;0,99531;3,17;0,53;12,5;6;"Spain"
11,5;0,35;0,49;3,3;0,07;10;37;1,0003;3,32;0,91;11;6;"France"
10,1;0,31;0,35;1,6;0,075;9;28;0,99672;3,24;0,83;11,2;7;"France"
5,6;0,915;0;2,1;0,041;17;78;0,99346;3,68;0,73;11,4;5;"France"
7;0,62;0,08;1,8;0,076;8;24;0,9978;3,48;0,53;9;5;"Spain"
6,1;0,15;0,35;15,8;0,042;55;158;0,99642;3,24;0,37;10,6;5;"Argentina"
10,1;0,935;0,22;3,4;0,105;11;86;1,001;3,43;0,64;11,3;4;"Spain"
6,8;0,35;0,53;10,1;0,053;37;151;0,9963;3,07;0,4;9,4;5;"Argentina"
9;0,46;0,31;2,8;0,093;19;98;0,99815;3,32;0,63;9,5;6;"Spain"
7,6;0,49;0,33;1,9;0,074;27;85;0,99706;3,41;0,58;9;5;"France"
9,5;0,37;0,52;2;0,082;6;26;0,998;3,18;0,51;9,5;5;"Chile"
6,8;0,17;0,74;2,4;0,053;61;182;0,9953;3,63;0,76;10,5;6;"Argentina"
6,1;0,64;0,02;2,4;0,069;26;46;0,99358;3,47;0,45;11;5;"France"
8,4;0,37;0,43;2,3;0,063;12;19;0,9955;3,17;0,81;11,2;7;"Chile"
6,7;0,76;0,02;1,8;0,078;6;12;0,996;3,55;0,63;9,95;3;"Spain"
7,7;1,005;0,15;2,1;0,102;11;32;0,99604;3,23;0,48;10;5;"Spain"
8,2;1;0,09;2,3;0,065;7;37;0,99685;3,32;0,55;9;6;"Chile"
9,3;0,36;0,39;1,5;0,08;41;55;0,99652;3,47;0,73;10,9;6;"Spain"
5,4;0,74;0,09;1,7;0,089;16;26;0,99402;3,67;0,56;11,6;6;"Chile"
6,3;0,34;0,31;6;0,02;18;68;0,98981;3,22;0,29;13,4;7;"Argentina"
8,5;0,44;0,5;1,9;0,369;15;38;0,99634;3,01;1,1;9,4;5;"Spain"
6,2;0,7;0,15;5,1;0,076;13;27;0,99622;3,54;0,6;11,9;6;"Spain"
6,2;0,39;0,43;2;0,071;14;24;0,99428;3,45;0,87;11,2;7;"Chile"
7;0,745;0,12;1,8;0,114;15;64;0,99588;3,22;0,59;9,5;6;"France"
10,2;0,54;0,37;15,4;0,214;55;95;1,00369;3,18;0,77;9;6;"Spain"
6,8;0,31;0,32;7,6;0,052;35;143;0,9959;3,14;0,38;9;5;"Argentina"
7,8;0,82;0,29;4,3;0,083;21;64;0,99642;3,16;0,53;9,4;5;"Spain"
7,2;0,57;0,05;2,3;0,081;16;36;0,99564;3,38;0,6;10,3;6;"Spain"
8,2;0,28;0,4;2,4;0,052;4;10;0,99356;3,33;0,7;12,8;7;"Chile"
11,1;0,31;0,49;2,7;0,094;16;47;0,9986;3,12;1,02;10,6;7;"France"
5,9;0,31;0,3;7,7;0,047;60;206;0,995;3,2;0,39;9,6;6;"Argentina"
6,4;0,35;0,28;12,6;0,039;19;124;0,99539;3,2;0,43;10,6;6;"Argentina"
8,9;0,4;0,32;5,6;0,087;10;47;0,9991;3,38;0,77;10,5;7;"Spain"
9,1;0,37;0,32;2,1;0,064;4;15;0,99576;3,3;0,8;11,2;6;"Chile"
7,7;0,67;0,23;2,1;0,088;17;96;0,9962;3,32;0,48;9,5;5;"France"
6,9;0,33;0,21;1;0,053;39;148;0,9927;3,12;0,45;9,4;6;"Argentina"
6,5;0,35;0,28;12,4;0,051;86;213;0,9962;3,16;0,51;9,9;6;"Argentina"
11,5;0,31;0,51;2,2;0,079;14;28;0,9982;3,03;0,93;9,8;6;"Chile"
7,9;0,545;0,06;4;0,087;27;61;0,9965;3,36;0,67;10,7;6;"Spain"
4,8;0,33;0;6,5;0,028;34;163;0,9937;3,35;0,61;9,9;5;"Argentina"
7,3;0,51;0,18;2,1;0,07;12;28;0,99768;3,52;0,73;9,5;6;"Spain"
6,2;0,21;0,52;6,5;0,047;28;123;0,99418;3,22;0,49;9,9;6;"Argentina"
7,5;0,65;0,18;7;0,088;27;94;0,99915;3,38;0,77;9,4;5;"Chile"
9,9;0,54;0,45;2,3;0,071;16;40;0,9991;3,39;0,62;9,4;5;"Chile"
5,9;0,37;0,32;1,6;0,029;41;102;0,98916;3,41;0,55;12,7;7;"Argentina"
7,5;0,51;0,02;1,7;0,084;13;31;0,99538;3,36;0,54;10,5;6;"Spain"
8,3;0,61;0,3;2,1;0,084;11;50;0,9972;3,4;0,61;10,2;6;"Chile"
7;0,49;0,49;5,6;0,06;26;121;0,9974;3,34;0,76;10,5;5;"France"
6,6;0,56;0,14;2,4;0,064;13;29;0,99397;3,42;0,62;11,7;7;"France"
7;0,12;0,29;10,3;0,039;41;98;0,99564;3,19;0,38;9,8;8;"Argentina"
7,6;0,46;0,11;2,6;0,079;12;49;0,9968;3,21;0,57;10;5;"Chile"
8;0,67;0,3;2;0,06;38;62;0,9958;3,26;0,56;10,2;6;"Spain"
7,2;0,36;0,46;2,1;0,074;24;44;0,99534;3,4;0,85;11;7;"Chile"
8,1;0,78;0,1;3,3;0,09;4;13;0,99855;3,36;0,49;9,5;5;"Chile"
6;0,17;0,33;6;0,036;30;111;0,99362;3,32;0,58;10,1333333333333;7;"Argentina"
12;0,39;0,66;3;0,093;12;30;0,9996;3,18;0,63;10,8;7;"Chile"
7,5;0,38;0,56;9,7;0,055;15;170;0,99605;3,13;0,65;9,9;6;"Argentina"
8,9;0,35;0,4;3,6;0,11;12;24;0,99549;3,23;0,7;12;7;"France"
8,8;0,3;0,38;2,3;0,06;19;72;0,99543;3,39;0,72;11,8;6;"France"
5,3;0,31;0,38;10,5;0,031;53;140;0,99321;3,34;0,46;11,7;6;"Argentina"
7,5;0,26;0,38;5,7;0,021;23;125;0,99338;3,13;0,62;11,1;6;"Argentina"
10,4;0,41;0,55;3,2;0,076;22;54;0,9996;3,15;0,89;9,9;6;"Chile"
11,2;0,67;0,55;2,3;0,084;6;13;1;3,17;0,71;9,5;6;"Spain"
8,9;0,4;0,32;5,6;0,087;10;47;0,9991;3,38;0,77;10,5;7;"Chile"
8,1;0,78;0,23;2,6;0,059;5;15;0,997;3,37;0,56;11,3;5;"France"
10,4;0,34;0,58;3,7;0,174;6;16;0,997;3,19;0,7;11,3;6;"Chile"
8,9;0,48;0,53;4;0,101;3;10;0,99586;3,21;0,59;12,1;7;"Spain"
5,9;0,27;0,29;11,4;0,036;31;115;0,9949;3,35;0,48;10,5;8;"Argentina"
8,7;0,69;0,31;3;0,086;23;81;1,0002;3,48;0,74;11,6;6;"France"
8,2;0,4;0,31;1,9;0,082;8;24;0,996;3,24;0,69;10,6;6;"Chile"
6,9;0,38;0,29;13,65;0,048;52;189;0,99784;3;0,6;9,5;6;"Argentina"
8,9;0,59;0,5;2;0,337;27;81;0,9964;3,04;1,61;9,5;6;"Chile"
6,9;0,55;0,15;2,2;0,076;19;40;0,9961;3,41;0,59;10,1;5;"Spain"
5,6;0,54;0,04;1,7;0,049;5;13;0,9942;3,72;0,58;11,4;5;"France"
6,7;0,42;0,27;8,6;0,068;24;148;0,9948;3,16;0,57;11,3;6;"Chile"
8,9;0,595;0,41;7,9;0,086;30;109;0,9998;3,27;0,57;9,3;5;"France"
7;0,62;0,1;1,4;0,071;27;63;0,996;3,28;0,61;9,2;5;"Chile"
8,7;0,7;0,24;2,5;0,226;5;15;0,9991;3,32;0,6;9;6;"Spain"
7,5;0,29;0,67;8,1;0,037;53;166;0,9966;2,9;0,41;8,9;6;"Argentina"
10,9;0,32;0,52;1,8;0,132;17;44;0,99734;3,28;0,77;11,5;6;"Chile"
7,4;0,2;0,37;1,2;0,028;28;89;0,99132;3,14;0,61;11,8;6;"Argentina"
9,5;0,39;0,41;8,9;0,069;18;39;0,99859;3,29;0,81;10,9;7;"Spain"
7,5;0,52;0,11;1,5;0,079;11;39;0,9968;3,42;0,58;9,6;5;"Spain"
15,5;0,645;0,49;4,2;0,095;10;23;1,00315;2,92;0,74;11,1;5;"Spain"
9,2;0,43;0,52;2,3;0,083;14;23;0,9976;3,35;0,61;11,3;6;"Chile"
7,3;0,25;0,29;7,5;0,049;38;158;0,9965;3,43;0,38;9,6;5;"Argentina"
8,5;0,25;0,27;4,7;0,031;31;92;0,9922;3,01;0,33;12;6;"Argentina"
7,1;0,43;0,42;5,5;0,071;28;128;0,9973;3,42;0,71;10,5;5;"Chile"
8,3;0,615;0,22;2,6;0,087;6;19;0,9982;3,26;0,61;9,3;5;"Spain"
7,1;0,59;0,01;2,3;0,08;27;43;0,9955;3,42;0,58;10,7;6;"Chile"
10;0,69;0,11;1,4;0,084;8;24;0,99578;2,88;0,47;9,7;5;"France"
6;0,17;0,29;5;0,028;25;108;0,99076;3,14;0,34;12,3;6;"Argentina"
8,6;0,53;0,22;2;0,1;7;27;0,9967;3,2;0,56;10,2;6;"Spain"
7,6;0,78;0;1,7;0,076;33;45;0,99612;3,31;0,62;10,7;6;"France"
11,4;0,26;0,44;3,6;0,071;6;19;0,9986;3,12;0,82;9,3;6;"Chile"
8,4;0,745;0,11;1,9;0,09;16;63;0,9965;3,19;0,82;9,6;5;"Chile"
7,2;0,605;0,02;1,9;0,096;10;31;0,995;3,46;0,53;11,8;6;"France"
7,6;0,3;0,42;2;0,052;6;24;0,9963;3,44;0,82;11,9;6;"France"
7,6;0,43;0,29;2,1;0,075;19;66;0,99718;3,4;0,64;9,5;5;"France"
11,9;0,39;0,69;2,8;0,095;17;35;0,9994;3,1;0,61;10,8;6;"France"
9;0,44;0,49;2,4;0,078;26;121;0,9978;3,23;0,58;9,2;5;"Chile"
8,3;0,625;0,2;1,5;0,08;27;119;0,9972;3,16;1,12;9,1;4;"Chile"
6,4;0,37;0,25;1,9;0,074;21;49;0,9974;3,57;0,62;9,8;6;"Spain"
6,5;0,32;0,34;5,7;0,044;27;91;0,99184;3,28;0,6;12;7;"Argentina"
7,3;0,67;0,05;3,6;0,107;6;20;0,9972;3,4;0,63;10,1;5;"Spain"
9,9;0,44;0,46;2,2;0,091;10;41;0,99638;3,18;0,69;11,9;6;"Spain"
6,3;0,76;0;2,9;0,072;26;52;0,99379;3,51;0,6;11,5;6;"France"
9,4;0,26;0,53;1,2;0,047;25;109;0,9921;3,23;0,28;12,5;6;"Argentina"
6,4;0,26;0,24;6,4;0,04;27;124;0,9903;3,22;0,49;12,6;7;"Argentina"
7,7;0,915;0,12;2,2;0,143;7;23;0,9964;3,35;0,65;10,2;7;"Chile"
7,1;0,26;0,34;14,4;0,067;35;189;0,9986;3,07;0,53;9,1;7;"Argentina"
9;0,39;0,4;1,3;0,044;25;50;0,99478;3,2;0,83;10,9;6;"France"
7,5;0,17;0,34;1,4;0,035;13;102;0,9918;3,05;0,74;11;5;"Argentina"
8,3;0,6;0,25;2,2;0,118;9;38;0,99616;3,15;0,53;9,8;5;"France"
7,7;0,15;0,29;1,3;0,029;10;64;0,9932;3,35;0,39;10,1;5;"Argentina"
9,2;0,52;1;3,4;0,61;32;69;0,9996;2,74;2;9,4;4;"Chile"
9,6;0,54;0,42;2,4;0,081;25;52;0,997;3,2;0,71;11,4;6;"Spain"
8,7;0,625;0,16;2;0,101;13;49;0,9962;3,14;0,57;11;5;"France"
10,3;0,27;0,24;2,1;0,072;15;33;0,9956;3,22;0,66;12,8;6;"France"
6,3;0,23;0,31;1,5;0,022;11;82;0,9892;3,3;0,4;12,9;7;"Argentina"
6,6;0,22;0,28;4,9;0,042;51;180;0,9952;3,3;0,75;9,5;6;"Argentina"
6,1;0,24;0,27;9,8;0,062;33;152;0,9966;3,31;0,47;9,5;6;"Argentina"
10,2;0,41;0,43;2,2;0,11;11;37;0,99728;3,16;0,67;10,8;5;"France"
7,1;0,63;0,06;2;0,083;8;29;0,99855;3,67;0,73;9,6;5;"Chile"
6,5;0,52;0,11;1,8;0,073;13;38;0,9955;3,34;0,52;9,3;5;"France"
13,2;0,38;0,55;2,7;0,081;5;16;1,0006;2,98;0,54;9,4;5;"Chile"
8,1;0,785;0,52;2;0,122;37;153;0,9969;3,21;0,69;9,3;5;"Chile"
5,7;0,1;0,27;1,3;0,047;21;100;0,9928;3,27;0,46;9,5;5;"Argentina"
9,1;0,3;0,41;2;0,068;10;24;0,99523;3,27;0,85;11,7;7;"Chile"
7,8;0,3;0,29;16,85;0,054;23;135;0,9998;3,16;0,38;9;6;"Argentina"
6,9;0,18;0,38;8,1;0,049;44;176;0,9958;3,3;0,54;9,8;6;"Argentina"
9,7;0,14;0,59;1,5;0,049;23;142;0,9958;2,98;0,62;9,5;5;"Argentina"
6,9;0,74;0,03;2,3;0,054;7;16;0,99508;3,45;0,63;11,5;6;"Chile"
7,2;0,25;0,37;2,5;0,063;11;41;0,99439;3,52;0,8;12,4;7;"Chile"
8,9;0,22;0,48;1,8;0,077;29;60;0,9968;3,39;0,53;9,4;6;"France"
10,2;0,67;0,39;1,9;0,054;6;17;0,9976;3,17;0,47;10;5;"France"
6,7;0,7;0,08;3,75;0,067;8;16;0,99334;3,43;0,52;12,6;5;"Chile"
6,8;0,16;0,36;1,3;0,034;32;98;0,99058;3,02;0,58;11,3;6;"Argentina"
8,4;0,56;0,08;2,1;0,105;16;44;0,9958;3,13;0,52;11;5;"Spain"
6,8;0,31;0,3;8;0,028;33;122;0,99164;3,13;0,63;12,6;7;"Argentina"
7,1;0,56;0,14;1,6;0,078;7;18;0,99592;3,27;0,62;9,3;5;"France"
8,6;0,83;0;2,8;0,095;17;43;0,99822;3,33;0,6;10,4;6;"Spain"
8,3;0,54;0,24;3,4;0,076;16;112;0,9976;3,27;0,61;9,4;5;"Spain"
7,9;0,2;0,35;1,7;0,054;7;15;0,99458;3,32;0,8;11,9;7;"Spain"
9,4;0,27;0,53;2,4;0,074;6;18;0,9962;3,2;1,13;12;7;"Chile"
9,5;0,46;0,49;6,3;0,064;5;17;0,9988;3,21;0,73;11;6;"France"
7,9;0,53;0,24;2;0,072;15;105;0,996;3,27;0,54;9,4;6;"Spain"
6;0,49;0;2,3;0,068;15;33;0,99292;3,58;0,59;12,5;6;"France"
6;0,25;0,4;5,7;0,052;56;152;0,99398;3,16;0,88;10,5;6;"Argentina"
7,3;0,48;0,32;2,1;0,062;31;54;0,99728;3,3;0,65;10;7;"Spain"
