"fixed.acidity","volatile.acidity","citric.acidity","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","country"
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,"Argentina"
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,"Chile"
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,"Chile"
7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6,"Chile"
6.8,0.28,0.44,11.5,0.04,58,223,0.9969,3.22,0.56,9.5,5,"Argentina"
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,"Argentina"
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,"Germany"
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,"Chile"
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,"Argentina"
5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5,"Australia"
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,"Chile"
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,"Chile"
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"Chile"
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6,"Australia"
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,"Germany"
5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6,"Argentina"
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5,"Argentina"
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,"Chile"
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,"Argentina"
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,"Australia"
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,"Germany"
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,"Argentina"
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,"Australia"
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,"Germany"
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,"Germany"
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,"Australia"
6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5,"Argentina"
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,"Chile"
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,"Australia"
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,"Australia"
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7,"Australia"
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,"Chile"
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6,"Germany"
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,"Chile"
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,"Germany"
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7,"Australia"
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,"Chile"
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,"Germany"
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6,"Argentina"
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,"Germany"
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6,"Argentina"
6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6,"Argentina"
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7,"Germany"
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,"Germany"
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,"Germany"
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,"Argentina"
6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6,"Argentina"
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,"Germany"
5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6,"Australia"
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,"Australia"
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,"Australia"
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,"Chile"
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"Germany"
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,"Chile"
6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7,"Argentina"
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,"Chile"
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5,"Germany"
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,"Germany"
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,"Chile"
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,"Germany"
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,"Germany"
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,"Argentina"
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,"Argentina"
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,"Chile"
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"Argentina"
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,"Germany"
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,"Argentina"
7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6,"Australia"
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5,"Australia"
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,"Australia"
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,"Chile"
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,"Chile"
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,"Germany"
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,"Australia"
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,"Argentina"
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7,"Argentina"
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,"Chile"
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,"Argentina"
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5,"Argentina"
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6,"Chile"
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,"Germany"
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5,"Argentina"
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,"Chile"
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,"Argentina"
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"Germany"
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,"Australia"
7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,"Australia"
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,"Australia"
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,6,"Australia"
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6,"Germany"
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5,"Chile"
7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,"Australia"
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6,"Argentina"
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,"Germany"
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6,"Australia"
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5,"Australia"
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,"Argentina"
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,"Australia"
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,"Germany"
7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6,"Australia"
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,"Germany"
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,"Germany"
7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6,"Australia"
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,"Chile"
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,"Germany"
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6,"Australia"
6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,6,"Argentina"
6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,"Argentina"
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,"Australia"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"Chile"
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,"Chile"
6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5,"Australia"
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6,"Argentina"
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,"Chile"
7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,"Chile"
5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,"Argentina"
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,"Argentina"
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,"Argentina"
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,"Germany"
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,"Germany"
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,"Australia"
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,"Australia"
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,"Chile"
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6,"Argentina"
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7,"Argentina"
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6,"Chile"
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5,"Australia"
7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7,"Australia"
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,"Germany"
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5,"Australia"
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,"Germany"
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,"Germany"
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,"Germany"
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,"Argentina"
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,"Chile"
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,"Argentina"
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,"Chile"
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,"Australia"
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,"Chile"
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5,"Argentina"
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,"Argentina"
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,"Chile"
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6,"Argentina"
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,"Argentina"
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6,"Australia"
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,"Argentina"
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,"Chile"
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5,"Argentina"
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,"Chile"
8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6,"Argentina"
7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6,"Argentina"
8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,"Germany"
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,"Argentina"
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7,"Australia"
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,"Germany"
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4,"Argentina"
7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3,0.6,11.3,6,"Australia"
8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6,"Germany"
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,"Chile"
6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6,"Argentina"
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,"Chile"
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"Chile"
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6,"Argentina"
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,"Germany"
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,"Chile"
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5,"Argentina"
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,"Germany"
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6,"Argentina"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,"Germany"
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5,"Australia"
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,"Argentina"
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4,"Argentina"
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,"Australia"
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,"Australia"
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,"Australia"
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,"Chile"
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5,"Australia"
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,"Chile"
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,"Argentina"
6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,"Chile"
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,"Chile"
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,"Australia"
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,"Chile"
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,"Germany"
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,"Argentina"
6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,7,"Argentina"
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,"Germany"
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,"Australia"
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6,"Argentina"
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,"Argentina"
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6,"Australia"
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,"Australia"
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6,"Australia"
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,"Chile"
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,"Germany"
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,"Australia"
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,"Germany"
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,"Chile"
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6,"Australia"
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,"Chile"
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,"Chile"
5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,6,"Argentina"
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,"Chile"
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,"Chile"
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,"Argentina"
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,"Australia"
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,"Chile"
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,"Argentina"
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,"Chile"
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,"Germany"
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,"Australia"
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,"Chile"
7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6,"Argentina"
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,"Chile"
6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6,"Australia"
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5,"Australia"
6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5,"Argentina"
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,"Germany"
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,"Argentina"
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8,"Argentina"
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,"Australia"
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5,"Australia"
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,"Germany"
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,"Germany"
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,"Argentina"
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6,"Germany"
5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,"Argentina"
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,"Australia"
6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,"Argentina"
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7,"Argentina"
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6,"Argentina"
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,"Chile"
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,"Germany"
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7,"Chile"
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5,"Chile"
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,"Chile"
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7,"Germany"
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,"Chile"
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,"Australia"
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,"Germany"
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,"Chile"
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,"Germany"
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,"Chile"
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,"Australia"
6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5,"Australia"
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"Germany"
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,"Argentina"
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,"Chile"
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,"Argentina"
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,"Chile"
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,"Chile"
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5,"Argentina"
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,"Australia"
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,"Germany"
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,"Chile"
6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,"Australia"
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,"Argentina"
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,"Argentina"
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,"Australia"
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,"Argentina"
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,"Germany"
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,"Argentina"
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,"Chile"
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7,"Argentina"
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,"Australia"
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,"Chile"
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,"Germany"
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,"Argentina"
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6,"Argentina"
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,"Germany"
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,"Chile"
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,"Argentina"
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,"Germany"
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,"Australia"
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,"Germany"
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,"Argentina"
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,"Germany"
9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,"Argentina"
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,"Germany"
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4,"Argentina"
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5,"Germany"
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"Argentina"
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5,"Australia"
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,"Argentina"
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,"Germany"
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,"Germany"
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6,"Chile"
